Nombre,Cargo,Institucion,Pais,Disciplina,Lat,Lon,Biografia,Publicaciones,Proyectos
Viviana Rodas,Docente e Investigadora,Universidad Austral de Chile,Chile,Enfermería,-39.815,-73.245,"Enfermera docente e investigadora vinculada al área de salud comunitaria, formación clínica y colaboración académica interdisciplinaria.",3,2
María Paz Miró,Investigadora Postdoctoral,Universidad Austral de Chile,Chile,Bioquímica,-39.822,-73.250,"Bioquímica especializada en biomarcadores moleculares aplicados a salud comunitaria.",4,2
Paulo Reyes,Académico,Universidad San Sebastián,Chile,Salud Pública,-39.808,-73.238,"Investigador en salud pública con foco en determinantes sociales de la salud en el sur de Chile.",2,1
Felipe Araya,Profesor Asociado,Universidad Católica de la Santísima Concepción,Chile,Medicina,-36.758,-73.064,"Médico investigador en enfermedades crónicas no transmisibles.",3,1
Camila Leiva,Investigadora,Universidad de Concepción,Chile,Salud Pública,-36.770,-73.050,"Especialista en epidemiología comunitaria y vigilancia sanitaria regional.",2,1
Kenji Nakamura,Investigador Senior,University of Tokyo,Japón,Ingeniería,35.713,139.762,"Ingeniero biomédico enfocado en sensores aplicados a salud pública.",2,1
Amara Okafor,Investigadora,University of Lagos,Nigeria,Ingeniería,6.517,3.397,"Ingeniera de datos para sistemas de salud en contextos de recursos limitados.",1,1
Priya Mehta,Investigadora,Indian Institute of Technology Delhi,India,Ingeniería,28.545,77.193,"Investigadora en inteligencia artificial aplicada a diagnóstico clínico.",2,1
Elena Papadopoulos,Académica,University of Athens,Grecia,Ciencias Sociales,37.983,23.728,"Socióloga especializada en redes de colaboración científica internacional.",2,1
Laura Fernández,Profesora Titular,Universitat de Barcelona,España,Bioquímica,41.385,2.173,"Bioquímica con foco en proteómica aplicada a enfermedades crónicas.",2,1
Marc Soler,Investigador,Universitat de les Illes Balears,España,Ciencias Básicas,39.637,2.648,"Investigador en biología molecular y genética poblacional.",1,1
Sofía Herrera,Académica,Universidad Mayor,Chile,Medicina,-33.437,-70.650,"Médica investigadora en salud mental y bienestar comunitario.",1,1
Tomás Vidal,Investigador,Universidad Adventista de Chile,Chile,Ciencias Básicas,-36.565,-72.096,"Biólogo investigador en ecosistemas y salud ambiental.",1,1
Daniela Contreras,Académica,Viña del Mar University,Chile,Ciencias Sociales,-33.015,-71.551,"Investigadora en políticas públicas de salud y educación.",1,1
